ID_W,WAVE OF SURVEY=YEAR
J48.2,SALARY_HOURS TOO LOW?--JOB 2
J48.3.1,PAID VACATION?--JOB 2
J48.3.2,SICK LEAVE?--JOB 2
J48.3.3,PREGNANCY LEAVE?--JOB 2
J48.3.4,MEDICAL TREATMENT?--JOB 2
J48.3.5,SANATORIA?--JOB 2
J48.3.6,CHILD CARE?--JOB 2
J48.3.7,FREE FOOD?--JOB 2
J48.3.8,TRANSPORT GRANT?--JOB 2
J48.3.9,PAID EDUCATION?--JOB 2
J483.10,GRANTING LOANS?--JOB 2
J483.12,"GRANTING OF LOANS, CREDIT FOR HOUSE BUILDING OR REPAIR, DISCOUNTS ON BUILDING"
J483.11,SUBSIDIZED RENT?--JOB 2
J49,ENT. OWNER--GOVERNMENT?--JOB 2
J50,ENT. OWNER--FOREIGN FIRMS?--JOB 2
J51,ENT. OWNER--RUSSIAN FIRMS?--JOB 2
J52,(CO)OWNER OF ENTERPRISE?--JOB 2
J53,WORKS AT OWN ENTERPRISE?--JOB 2
J54,PERCENT RESPONDENT OWNS--JOB 2
J55,ENTREPRENEURIAL ACTIVITY?--JOB 2
J55.0,EMPLOYEE_INDIVIDUAL?--JOB 2
J55.1,EMPLOYEE_INDIVIDUAL?--JOB 2
J55.2,WAGE WORKERS HIRED?--JOB 2
J56,ENGAGED IN IEA LAST 30 DAYS?
J56.11C08,CODE OF THE PROFESSION FOR THE FIRST ISCO2088 ODD JOBS
J56.12C08,CODE OF THE PROFESSION FOR A SECOND ISCO2008 ODD JOBS
J56.13C08,CODE OF THE PROFESSION FOR THE THIRD ISCO2008 ODD JOBS
J57,IEA--INCOME LAST 30 DAYS
J58,IEA--OCCASIONAL_REGULAR
J59,IEA--HOURS WORKED LAST 30 DAYS
J59.1,BY CONTRACT?--FIRST IEA
J60,TOTAL INCOME IN LAST 30 DAYS
J60.1,EVER BEGAN OWN BUSINESS?
J60.2,YEAR OF LAST HOLIDAY
J60.3.1,HOLIDAY AT HOME?
J60.3.2,HOLIDAY AT OWN DACHA?
J60.3.3,HOLIDAY AT RENTED DACHA?
J60.3.4,HOLIDAY AT RELATIVES` DACHA?
J60.3.5,HOLIDAY AT RUSSIAN RESORT?
J60.3.6,HOLIDAY TRIP IN RUSSIA?
J60.3.7,HOLIDAY ABROAD?
J60.3.8,HOLIDAY OF ANOTHER KIND?
J60.3S8,OTHER KIND OF HOLIDAY
J604A1,ADDED WORK IN LAST YEAR?
J604B1,ADDED WORK HELPED
J604A2,NEW JOB IN LAST YEAR?
J604B2,NEW JOB HELPED
J604A3,GREW MORE?
J604B3,GROWING MORE HELPED
J604A4,ASKED RELATIVES FOR HELP?
J604B4,ASKING RELATIVES HELPED
J604A5,ASKED FRIENDS FOR HELP?
J604B5,ASKING FRIENDS HELPED
J604A6,SOLD THINGS?
J604B6,SELLING THINGS HELPED
J604A7,ASKED GOVERNMENT FOR HELP?
J604B7,ASKING GOVERNMENT HELPED
J604A8,GOT A GOVERNMENT JOB?
J604B8,GOVERNMENT JOB HELPED
J604A9,RENTED OUT APARTMENT?
J604B9,RENTING OUT APT. HELPED
J604A10,GOT TRAINING?
J604B10,GETTING TRAINING HELPED
J604A11,LIVED W_ RELATIVES?
J604B11,LIVING W_ REL. HELPED
J604A12,LIVED W_O RELATIVES?
J604B12,LIVING W_O REL. HELPED
J604A13,LESS CLOTHING?
J604B13,LESS CLOTHING HELPED
J604A14,FEWER MEALS?
J604B14,FEWER MEALS HELPED
J604A15,FEWER HOLIDAYS?
J604B15,FEWER HOLIDAYS HELPED
J604A16,MOVED?
J604B16,MOVING HELPED
J60.4A1,GOT EXTRA JOB IN L12M?
J60.4A2,RAISED CROPS TO SELL IN LY?
J60.4A3,RAISED LIVESTOCK TO SELL LY?
J604A0,"HUNTED, GATHERED MUSHROOMS, BERRIES  FOR SALE L12M?"
J60.4A4,SOLD HOME-MADE GOODS IN LY?
J60.4A5,SOLD OTHER GOODS LAST YEAR?
J60.4A6,IMPORTED GOODS TO SELL LY?
J60.4A7,RENTED OUT APT._CAR_ETC. LY?
J60.4A8,PLACED MONEY 4 INTEREST LY?
J60.4A9,SERVICES FOR PAY L12M?
J60.4B1,"FEWER CLOTHES, SHOES L2Y?"
J60.4B2,LESS EXPENSIVE FOOD L2Y?
J60.4B3,FEWER VACATIONS L2Y?
J60.4B4,MONEY FROM FRIENDS_REL. L2Y?
J60.4B5,MONEY FROM STATE ORGS. L2Y?
J60.4B6,SOLD POSSESSIONS L2Y?
J60.4B7,GREW MORE ON PLOT L2Y?
J60.4C6,SATISFACTION--FREE TIME
J60.4C7,SATISFACTION--FOOD
J60.5,STANDARD OF LIVING 5 YRS AGO
J60.5A,FAMILY FINANCES L12M
J61,FAMILY BETTER_WORSE OFF NEXT 12M
J62,ECONOMIC RANK ON 9-STEP LADDER
J63,POWER RANK ON 9-STEP LADDER
J64,RESPECT RANK ON 9-STEP LADDER
J65,SATISFACTION WITH LIFE AT PRESENT
J66,CONCERN ABOUT GETTING NECESSITIES
J66.1,SATISFACTION WITH EC. CONDITION
J67,COOPERATION OF RICH & POOR
J67.0,BAD PEACE IS BETTER THAN A GOOD QUARREL
J68,COOPERATION OF SIMPLE & POWERFUL
J69,COOPERATION OF YOUNG & OLD
j69.02,WHAT AFFECTS HOW YOU EXPRESS YOUR RELATIONS WITH OTHERS
J69.01,AMOUNT OF TRUST IN OTHERS
J69.1,SELF-EVALUATION OF JOB SKILLS
J69.2,ARGUMENTATIVENESS
J69.3,DOES THIS EXPRESSION DESCRIBE YOU OR NOT: IT SEEMS TO ME THAT I DON’T HAVE MAN
J118.1,CLOSE TO LABORERS?
J118.2,CLOSE TO ORTHODOX BELIEVERS?
J118.3,CLOSE TO INTELLECTUALS?
J118.4,CLOSE TO CATHOLICS?
J118.5,CLOSE TO DEMOCRATS?
J118.6,CLOSE TO MUSLIMS?
J118.7,CLOSE TO COMMUNISTS?
J118.8,CLOSE TO BAPTISTS?
J119.1,HUSBAND WORKS_WIFE STAYS HOME
J119.2,MEN_WOMEN EQUAL IN POLITICS
J119.3,MORE SUITABLE FOR MEN TO LEAD
J120,HEAD OF FAMILY--HUSBAND OR WIFE?
J121.1,ABORTIONS PERMISSIBLE?
J121.2,SEX W_O MARRIAGE PERMISSIBLE?
J121.3,CAPITAL PUNISHMENT PERMISSIBLE
J121.4,HOMOSEXUAL REL. PERMISSIBLE?
J121.5,DIVORCES PERMISSIBLE?
J122.1,GRANDMOTHER BELIEVED IN GOD
J122.2,GRANDFATHER BELIEVED IN GOD
J122.3,MOTHER BELIEVED IN GOD
J122.4,FATHER BELIEVED IN GOD
J122.5,BROTHER_SISTER BELIEVED IN GOD
J122.6,OTHER RELATIVE BELIEVED IN GOD
J69.3A,INLAWS` NATIONALITY MATTERS?
J69.3B,EFFECT OF BOSS`S NATIONALITY
J357.1,% UNEMPLOYED IN YOUR SETTLEMENT?
J357.2,% UNEMPLOYED IN YOUR AREA?
J357.3,% UNEMPLOYED IN YOUR COUNTRY?
J358,"% UNEMPLOYED OF YOUR GENDER, AGE?"
J69.4,CONCERN OF GOVERNING OFFICIALS
J69.5,PRIV. EMPLOYER OR GOV`T BETTER
J69.6,MEN_WOMEN--EQUAL WORK ABILITIES
J69.6.1,BAD FOR FAMILY IF WIFE WORKS?
J69.6.2,WORKING WIFE MORE RESPECTED?
J69.6.3,GOOD JOB LIKELIER M_F?
J6964.1,M_F SUITABLE--TEACHER
J6964.3,M_F SUITABLE--CASHIER
J6964.4,M_F SUITABLE--DESIGNER
J6964.5,M_F SUITABLE--SHOP DIRECTOR
J6964.6,M_F SUITABLE--CITY COUNCIL
J6964.7,M_F SUITABLE--BRICKLAYER
J6964.8,M_F SUITABLE--BUSINESS
J6964.9,M_F SUITABLE--DUMA DEPUTY
J696410,M_F SUITABLE--HEAVY INDUS.
J696411,M_F SUITABLE--GOV`T MIN.
J696412,M_F SUITABLE--DOCTOR
J696413,M_F SUITABLE--JUDGE
J69.6.5,WHICH AUTHORITIES TRUSTED
J69.7,GOV`T TO LIMIT INCOME OF RICH
J69.7.1,FRIENDSHIP RETENTION
J69.7.2,ECONOMIC RANK AMONG FRIENDS
J69.7.3,CAN R MAKE HIS LIFE BETTER?
J69.8,AGREEABLENESS TO AVOID CONFLICT
J69.8A,MONEY TO LIVE NORMALLY
J69.8B,MONEY TO LIVE WELL
J69.8C,MONEY TO LIVE POORLY
J144.1,WHICH SIDES (AREAS) OF OUR LIFE IS THE MOST IMPORTANT FOR YOU PERSONALLY?
J144.2,WHICH SIDE OF OUR LIFE IS NEXT IN IMPORTANCE FOR YOU PERSONALLY?
J144.3,WHAT OTHER ASPECT OF OUR LIVES IMPORTANT TO YOU?
J69.9C,RESPONDENTS BIRTH YEAR
J69.10,LENGTH OF RESIDENCE IN RUSSIA
J69.11,PLAN FOR NEXT 3 YEARS
J70.1,SCHOOL GRADE-LEVEL COMPLETED
J70,RECEIVED HIGH SCHOOL DIPLOMA?
J70.2,CURRENTLY ATTENDS GENERAL SCHOOL?
K3.1,WHAT GRADE ARE YOU IN?
K3.5,HOW MANY STUDENTS IN YOUR CLASS
K3.2,TYPE OF SCHOOL DID YOU STUDY
K3.3,SCHOOL OWNER?
K3.4,PROGRESS ESTIMATION?
J317,ATTEND SCHOOL IN THE SAME PLACE?
J318,WHERE DID YOU FINISH YOUR SCHOOLING?
J319,TYPE OF SCHOOL HAVE YOU GRADUATED OR LAST STUDY?
J71,STUDIED ELSEWHERE THAN SCHOOL?
J72.1,COMPLETED PROFESSIONAL COURSES?
J72.2,"COMPLETED PTU, FZU, FZO, WITHOUT A SECONDARY EDUCATION?"
J72.3,"COMPLETED PTU WITH A SECONDARY EDUCATION, TECHNICAL TRADE-SCHOOL?"
J72.4,"COMPLETED TECHNICAL, MEDICAL, MUSIC, PEDAGOGICAL, ART SCHOOL?"
J72.5,"COMPLETED INSTITUTE, UNIVERSITY, ACADEMY?"
J72.6,"COMPLETED GRADUATE SCHOOL, RESIDENCY?"
J72YEAR,YEAR OF DATA COLLECTION ON EDUCATION
J72.1A,PROF. COURSE 1--STUDIED?
J72.1B,PROF. COURSE 1--YEARS
J721DAC08,CODE OF THE PROFESSION BY ISCO2008 FOR THE FIRST DEGREE PROFESSIONAL COURSES
J72.1C,PROF. COURSE 1--DIPLOMA?
J72.1E,PROF. COURSE 1--FINISH YR
J72.1F,PROF. COURSE 1--PAID
J72.1G,PROF. COURSE 1--PAY OFFICIALLY PER YEAR--AMOUNT
J72.1A2,PROF. COURSE 2--STUDIED?
J72.1B2,PROF. COURSE 2--YEARS
J721DBC08,CODE OF THE PROFESSION BY ISCO2008 SECOND DEGREE PROFESSIONAL COURSES
J72.1C2,PROF. COURSE 2--DIPLOMA?
J72.1E2,PROF. COURSE 2--FINISH YR
J72.1F2,PROF. COURSE 2--PAID
J72.1G2,PROF. COURSE 2--PAY OFFICIALLY PER YEAR--AMOUNT
J72.1A3,PROF. COURSE 3--STUDIED?
J72.1B3,PROF. COURSE 3--YEARS
J721DCC08,CODE OF THE PROFESSION BY ISCO2008 THIRD DEGREE OF PROFESSIONAL COURSES
J72.1C3,PROF. COURSE 3--DIPLOMA?
J72.1E3,PROF. COURSE 3--FINISH YR
J72.1F3,PROF. COURSE 3--PAID
J72.1G3,PROF. COURSE 3--PAY OFFICIALLY PER YEAR--AMOUNT
J72.1A4,PROF. COURSE 4--STUDIED?
J72.1B4,PROF. COURSE 4--YEARS
J721DDC08,CODE OF THE PROFESSION BY ISCO2008 FOURTH DEGREE OF PROFESSIONAL COURSES
J72.1C4,PROF. COURSE 4--DIPLOMA?
J72.1E4,PROF. COURSE 4--FINISH YR
J72.1F4,PROF. COURSE 4--PAID
J72.1G4,PROF. COURSE 4--PAY OFFICIALLY PER YEAR--AMOUNT
J72.1A5,PROF. COURSE 5--STUDIED?
J72.1B5,PROF. COURSE 5--YEARS
J721DEC08,CODE OF THE PROFESSION BY ISCO2008 FIFTH DEGREE OF PROFESSIONAL COURSES
J72.1C5,PROF. COURSE 5--DIPLOMA?
J72.1E5,PROF. COURSE 5--FINISH YR
J72.1F5,PROF. COURSE 5--PAID
J72.1G5,PROF. COURSE 5--PAY OFFICIALLY PER YEAR--AMOUNT
J72.2A,PTU_ETC. W_O 2ND 1--STUDIED?
J72.2B,PTU_ETC. W_O 2ND 1--YEARS
J722DAC08,CODE OF THE PROFESSION BY ISCO2008 FIRST PROFESSION WITHOUT SECONDARY
J72.2C,PTU_ETC. W_O 2ND 1--DIPLOMA?
J72.2E,PTU_ETC. W_O 2ND 1--FINISH YR
J72.2F,PTU_ETC. W_O 2ND 1--PAID
J72.2G,PTU_ETC. W_O 2ND 1--PAY OFFICIALLY PER YEAR--AMOUNT
J72.2H,PTU_ETC. W_O 2ND 1--INTERNAL?
J72.2I,PTU_ETC. W_O 2ND 1--THE SAME PLACE?
J72.2A2,PTU_ETC. W_O 2ND 2--STUDIED?
J72.2B2,PTU_ETC. W_O 2ND 2--YEARS
J722DBC08,CODE OF THE PROFESSION BY ISCO2008 SECOND DEGREE WITHOUT SECONDARY VOCATIONAL EDUCATION
J72.2C2,PTU_ETC. W_O 2ND 2--DIPLOMA?
J72.2E2,PTU_ETC. W_O 2ND 2--FINISH YR
J72.2F2,PTU_ETC. W_O 2ND 2--PAID
J72.2G2,PTU_ETC. W_O 2ND 2--PAY OFFICIALLY PER YEAR--AMOUNT
J72.2H2,PTU_ETC. W_O 2ND 2--INTERNAL?
J72.2I2,PTU_ETC. W_O 2ND 2--THE SAME PLACE?
J72.3A,PTU_ETC. W_ 2ND 1--STUDIED?
J72.3B,PTU_ETC. W_ 2ND 1--YEARS
J723DAC08,CODE OF THE PROFESSION BY ISCO2008  FOR THE FIRST SPECIALTY VOCATIONAL SECONDARY EDUCATION
J72.3C,PTU_ETC. W_ 2ND 1--DIPLOMA?
J72.3E,PTU_ETC. W_ 2ND 1--FINISH YR
J72.3F,PTU_ETC. W_ 2ND 1--PAID
J72.3G,PTU_ETC. W_ 2ND 1--PAY OFFICIALLY PER YEAR--AMOUNT
J72.3H,PTU_ETC. W_ 2ND 1--INTERNAL?
J72.3I,PTU_ETC. W_ 2ND 1--THE SAME PLACE?
J72.3A2,PTU_ETC. W_ 2ND 2--STUDIED?
J72.3B2,PTU_ETC. W_ 2ND 2--YEARS
J723DBC08,CODE OF THE PROFESSION BY ISCO2008 FOR A SECOND SPECIALTY VOCATIONAL SECONDARY EDUCATION
J72.3C2,PTU_ETC. W_ 2ND 2--DIPLOMA?
J72.3E2,PTU_ETC. W_ 2ND 2--FINISH YR
J72.3F2,PTU_ETC. W_ 2ND 2--PAID
J72.3G2,PTU_ETC. W_ 2ND 2--PAY OFFICIALLY PER YEAR--AMOUNT
J72.3H2,PTU_ETC. W_ 2ND 2--INTERNAL?
J72.3I2,PTU_ETC. W_ 2ND 2--THE SAME PLACE?
J72.4A,TECH_MEDICAL 1--STUDIED?
J72.4B,TECH_MEDICAL 1--YEARS
J724DAC08,CODE OF THE PROFESSION BY ISCO2008  FOR THE FIRST  SPECIALTY TECHNICAL SCHOOL
J72.4C,TECH_MEDICAL 1--DIPLOMA?
J72.4E,TECH_MEDICAL 1--FINISH YR
J72.4F,TECH_MEDICAL 1--PAID
J72.4G,TECH_MEDICAL 1--PAY OFFICIALLY PER YEAR--AMOUNT
J72.4H,TECH_MEDICAL 1--INTERNAL?
J72.4I,TECH_MEDICAL 1--THE SAME PLACE?
J72.4A2,TECH_MEDICAL 2--STUDIED?
J72.4B2,TECH_MEDICAL 2--YEARS
J724DBC08,"CODE OF THE PROFESSION BY ISCO2008 FOR A SECOND COLLEGE DEGREE, COLLEGE"
J72.4C2,TECH_MEDICAL 2--DIPLOMA?
J72.4E2,TECH_MEDICAL 2--FINISH YR
J72.4F2,TECH_MEDICAL 2--PAID
J72.4G2,TECH_MEDICAL 2--PAY OFFICIALLY PER YEAR--AMOUNT
J72.4H2,TECH_MEDICAL 2--INTERNAL?
J72.4I2,TECH_MEDICAL 2--THE SAME PLACE?
J72.5A,INSTITUTE 1--STUDIED?
J72.5B,INSTITUTE 1--YEARS
J725DAC08,CODE OF THE PROFESSION BY ISCO2008 FOR THE FIRST SPECIALTY INSTITUTE
J72.5C,INSTITUTE 1--DIPLOMA?
J72.5E,INSTITUTE 1--FINISH YR
J72.5F,INSTITUTE 1--PAID
J72.5G,INSTITUTE 1--PAY OFFICIALLY PER YEAR--AMOUNT
J72.5H,INSTITUTE 1--INTERNAL?
J72.5I,INSTITUTE 1--THE SAME PLACE?
J72.5J,"WHAT PROGRAM DID YOU STUDY OR STUDING NOW AT INSTITUTE, UNIVERSITY, ACADEMY? (FIRST)"
J72.5A2,INSTITUTE 2--STUDIED?
J72.5B2,INSTITUTE 2--YEARS
J725DBC08,CODE OF THE PROFESSION BY ISCO2008 FOR A SECOND SPECIALTY INSTITUTE
J72.5C2,INSTITUTE 2--DIPLOMA?
J72.5E2,INSTITUTE 2--FINISH YR
J72.5F2,INSTITUTE 2--PAID
J72.5G2,INSTITUTE 2--PAY OFFICIALLY PER YEAR--AMOUNT
J72.5H2,INSTITUTE 2--INTERNAL?
J72.5I2,INSTITUTE 2--THE SAME PLACE?
J72.5J2,"WHAT PROGRAM DID YOU STUDY OR STUDING NOW AT INSTITUTE, UNIVERSITY, ACADEMY? (SECOND)"
J72.5A3,INSTITUTE 3--STUDIED?
J72.5B3,INSTITUTE 3--YEARS
